RegionID,DKTID,Region,Hemisphere,Coloc_time,Order
65,70,inferiortemporal,left,14.74,1
40,45,medialorbitofrontal,left,15.05,2
67,72,bankssts,left,15.4,3
12,12,rostralanteriorcingulate,right,15.48,4
31,31,bankssts,right,15.48,5
48,53,rostralanteriorcingulate,left,15.56,6
4,4,medialorbitofrontal,right,15.79,7
20,20,precuneus,right,15.99,8
14,14,posteriorcingulate,right,16.01,9
55,60,inferiorparietal,left,16.11,10
37,42,lateralorbitofrontal,left,16.44,11
38,43,parsorbitalis,left,16.45,12
66,71,middletemporal,left,16.51,13
43,48,rostralmiddlefrontal,left,16.73,14
56,61,precuneus,left,16.81,15
50,55,posteriorcingulate,left,16.9,16
15,15,isthmuscingulate,right,16.96,17
7,7,rostralmiddlefrontal,right,17.02,18
64,69,temporalpole,left,17.07,19
29,29,inferiortemporal,right,17.52,20
13,13,caudalanteriorcingulate,right,17.55,21
61,66,fusiform,left,17.62,22
54,59,superiorparietal,left,17.66,23
39,44,frontalpole,left,17.7,24
1,1,lateralorbitofrontal,right,17.71,25
62,67,parahippocampal,left,17.73,26
44,49,superiorfrontal,left,17.9,27
53,58,supramarginal,left,17.92,28
41,46,parstriangularis,left,17.93,29
19,19,inferiorparietal,right,17.97,30
3,3,frontalpole,right,17.98,31
2,2,parsorbitalis,right,18.06,32
30,30,middletemporal,right,18.11,33
8,8,superiorfrontal,right,18.15,34
42,47,parsopercularis,left,18.22,35
68,73,superiortemporal,left,18.4,36
51,56,isthmuscingulate,left,18.47,37
5,5,parstriangularis,right,18.6,38
70,75,insula,left,18.67,39
45,50,caudalmiddlefrontal,left,18.76,40
18,18,superiorparietal,right,19.22,41
49,54,caudalanteriorcingulate,left,19.47,42
17,17,supramarginal,right,19.49,43
25,25,fusiform,right,19.92,44
28,28,temporalpole,right,19.97,45
32,32,superiortemporal,right,20.14,46
26,26,parahippocampal,right,20.41,47
9,9,caudalmiddlefrontal,right,20.71,48
34,34,insula,right,20.81,49
6,6,parsopercularis,right,20.97,50
11,11,paracentral,right,21.27,51
59,64,lateraloccipital,left,21.7,52
69,74,transversetemporal,left,21.78,53
63,68,entorhinal,left,22.46,54
46,51,precentral,left,23.22,55
52,57,postcentral,left,23.33,56
23,23,lateraloccipital,right,23.73,57
47,52,paracentral,left,23.94,58
72,82,Left-Amygdala,left,24.05,59
16,16,postcentral,right,24.1,60
60,65,lingual,left,24.18,61
10,10,precentral,right,25.07,62
24,24,lingual,right,25.79,63
57,62,cuneus,left,25.89,64
33,33,transversetemporal,right,26.09,65
58,63,pericalcarine,left,27.33,66
21,21,cuneus,right,27.36,67
22,22,pericalcarine,right,28.79,68
36,41,Right-Amygdala,right,31.79,69
27,27,entorhinal,right,34.62,70
71,81,Left-Hippocampus,left,70.41,71
35,40,Right-Hippocampus,right,74.34,72
