RegionID,DKTID,Region,Hemisphere,Coloc_time,Order
31,31,bankssts,right,15.51,1
12,12,rostralanteriorcingulate,right,16.51,2
14,14,posteriorcingulate,right,17.13,3
4,4,medialorbitofrontal,right,17.36,4
29,29,inferiortemporal,right,17.64,5
1,1,lateralorbitofrontal,right,17.86,6
15,15,isthmuscingulate,right,17.94,7
20,20,precuneus,right,18.04,8
2,2,parsorbitalis,right,18.14,9
7,7,rostralmiddlefrontal,right,18.16,10
3,3,frontalpole,right,18.25,11
30,30,middletemporal,right,18.28,12
19,19,inferiorparietal,right,18.3,13
13,13,caudalanteriorcingulate,right,18.8,14
5,5,parstriangularis,right,18.94,15
17,17,supramarginal,right,19.92,16
28,28,temporalpole,right,19.97,17
25,25,fusiform,right,20.04,18
18,18,superiorparietal,right,20.24,19
32,32,superiortemporal,right,20.48,20
26,26,parahippocampal,right,20.49,21
34,34,insula,right,21.05,22
6,6,parsopercularis,right,21.61,23
8,8,superiorfrontal,right,21.74,24
9,9,caudalmiddlefrontal,right,22.21,25
11,11,paracentral,right,23.1,26
23,23,lateraloccipital,right,24.18,27
16,16,postcentral,right,24.97,28
33,33,transversetemporal,right,26.24,29
24,24,lingual,right,26.73,30
10,10,precentral,right,26.76,31
21,21,cuneus,right,29.43,32
22,22,pericalcarine,right,30.4,33
36,41,Right-Amygdala,right,31.79,34
27,27,entorhinal,right,34.62,35
35,40,Right-Hippocampus,right,74.34,36
