RegionID,DKTID,Region,Hemisphere,Coloc_time,Order
29,70,inferiortemporal,left,8.58,1
30,71,middletemporal,left,9.36,2
25,66,fusiform,left,12.38,3
26,67,parahippocampal,left,15.22,4
32,73,superiortemporal,left,15.65,5
19,60,inferiorparietal,left,16.1,6
28,69,temporalpole,left,16.29,7
31,72,bankssts,left,16.54,8
23,64,lateraloccipital,left,18.31,9
18,59,superiorparietal,left,19.51,10
17,58,supramarginal,left,19.85,11
15,56,isthmuscingulate,left,20.38,12
20,61,precuneus,left,21.0,13
27,68,entorhinal,left,22.46,14
24,65,lingual,left,22.62,15
34,75,insula,left,23.04,16
1,42,lateralorbitofrontal,left,23.74,17
36,82,Left-Amygdala,left,24.05,18
7,48,rostralmiddlefrontal,left,24.29,19
16,57,postcentral,left,24.51,20
10,51,precentral,left,25.04,21
6,47,parsopercularis,left,25.17,22
9,50,caudalmiddlefrontal,left,25.93,23
5,46,parstriangularis,left,26.51,24
22,63,pericalcarine,left,26.56,25
21,62,cuneus,left,27.3,26
33,74,transversetemporal,left,28.49,27
8,49,superiorfrontal,left,28.52,28
2,43,parsorbitalis,left,29.61,29
14,55,posteriorcingulate,left,29.86,30
4,45,medialorbitofrontal,left,32.83,31
12,53,rostralanteriorcingulate,left,33.44,32
13,54,caudalanteriorcingulate,left,34.12,33
11,52,paracentral,left,34.21,34
3,44,frontalpole,left,40.38,35
35,81,Left-Hippocampus,left,70.41,36
