v0,vi
1.2040428623130885,2.4852255101908947
1.1595579609284903,2.6622136406682415
1.0362653031647062,2.438786046726119
1.1344056501211985,2.3165246809750366
1.1274360390575298,2.600397880083558
1.1031400043897452,2.757824478506967
1.097403940300266,2.9437803463935284
1.043385456945644,2.436678029153874
1.0642012056500123,3.308087128797477
1.0116385535150818,2.218971048494875
1.0564398362989686,2.3416534467930354
1.1160799804066253,2.5354261695756106
1.0832534767128026,2.2099461493023473
1.1220340605136931,2.8118432937495976
1.122208156270479,3.122328187913128
0.9809841159780824,2.3785056877706445
1.0859222291070008,3.161721453288081
1.0467115313775093,3.280438243289483
1.1409574135227334,3.5797314728250744
1.1275855164436726,3.4860881034149864
1.102772831816996,3.166811317315048
1.1204544367370568,2.770336348637737
1.1255240911898885,3.292773640464538
1.0994424458114915,2.7653841244211135
1.1851895692429304,2.9058172321711853
1.1008975791861082,2.233067007143624
1.1182708887844928,2.377241574716537
1.1170372843928444,2.1796545732109145
1.2006187518435079,3.1850304624611363
1.173099176506147,3.1455552076840085
1.199796551966693,3.746506881215339
1.081775582001965,2.4441329460114343
1.001061405825755,2.4309004093072373
1.1209138181688514,2.143298523803641
1.241608180738631,2.0536261158105336
1.2239909747798206,2.505052280866358
1.1951791375898635,2.590026516879367
1.1458258304796785,2.780956470613302
1.0063013344433838,2.4276301108124363
1.1378349669702994,2.3581989857387415
1.1204020933973946,2.6860648266657
1.0926022116246061,2.7845366915046483
1.0834819652242367,2.9408665484883816
1.0346045609862242,2.3927841217434644
1.0696619803683043,3.2723033646944413
1.0131361866506583,2.1889653068455726
1.0529862658306326,2.1902867007201605
1.1030669801065824,2.4301676220406216
1.0852083883432997,2.204240027270653
1.1220819858446323,2.796460725989541
1.1109635384361192,3.070011604569789
0.9819552983393804,2.378314242336831
1.083096695011458,3.0979919835731238
1.051863110720899,3.2829887084525486
1.1305837195021073,3.5678354755562136
1.132509842063132,3.4964367641004506
1.10449976352589,2.9374825672165494
1.1241253409910286,2.6869154393822003
1.1196827106590206,3.1568033912682685
1.099114809799136,2.6520466888475065
1.190565822773083,3.0068856618951196
1.1078207317803481,2.2413595518958647
1.111348238001594,2.3872148390211834
1.117067211992681,2.1985316115970726
1.2041887441090586,3.289988633359562
1.1618950845546165,3.1283515913169717
1.1990731821494642,3.813657616023522
1.0799086266966966,2.4562847138251223
1.021798381821696,2.417688618083319
1.1288778417235603,2.1209703068633625
1.238496024442787,2.066357690464266
1.2313523131665711,2.5577993839354467
