u0,alpha,t50,ui,diff
0.695283711184939,0.15300766920696127,31.576920687154253,1.1252185441160218,0.4299348329310829
0.6058251862832715,0.11788647881421686,31.565435210561578,1.1288115381779222,0.5229863518946507
0.5067436570342054,0.12118818019669175,33.39218211799905,1.1040020049327417,0.5972583478985364
0.6402963085579211,0.16791224386963002,30.99511631791201,1.1316416816479846,0.4913453730900636
0.6517033019101451,0.11732565596971203,32.318610539591916,1.1718680491109612,0.5201647472008161
0.6590556046141813,0.12502205119386303,31.96720543810403,1.1469778815544713,0.48792227694028995
0.6211843080498864,0.1238973064477443,32.26807253619673,1.2339587099063967,0.6127744018565101
0.6141177382454827,0.12905042058406674,32.38880648064778,1.1403865914528475,0.5262688532073648
0.6477337480314863,0.11204822746062788,33.36561612589178,1.1948350703935904,0.547101322362104
0.6774705606545832,0.10143186099016321,36.27552683966998,1.0716726650470894,0.39420210439250625
0.70451151486397,0.12805951174430452,35.173781989009704,1.1217806883721289,0.41726917350815895
0.6682902231647414,0.14796688470442346,30.512659047461593,1.1766003119197728,0.5083100887550313
0.686995290854331,0.13642042902358137,31.0865181490534,1.1662884110733893,0.47929312021905845
0.6799993448794662,0.12900397968807253,30.98730173568672,1.2179999373086732,0.538000592429207
0.7058589130766179,0.15222632315778462,30.667320415083694,1.1342979598503589,0.42843904677374095
0.6211003971855534,0.09888862715801913,35.763939502742474,1.044486496760401,0.42338609957484763
0.6205047043083518,0.10607616271267149,31.924938942968872,1.149595979765457,0.5290912754571052
0.5964580836900715,0.10008224954879091,33.04039814107523,1.1225293573108672,0.5260712736207959
0.6117889354575309,0.10587378302316944,32.14386642818375,1.2163013887447272,0.6045124532871962
0.6593899200377125,0.13387000335239835,31.324607024773844,1.241741124588669,0.5823512045509566
0.6467289685845753,0.07526213192008449,40.800452417614515,1.0983225457494052,0.45159357716483
0.747000351074698,0.1089864957261297,37.36244159024378,1.1915084455324199,0.4445080944577218
0.613613652197367,0.07014709395143565,38.17540254288429,1.175476639326423,0.5618629871290562
0.6229062759423815,0.08344886247358321,36.03539872657729,0.9828794947644484,0.3599732188220669
0.6491104688492187,0.11903049097740036,32.81209681110557,1.0484056413334502,0.3992951724842314
0.6041332949711801,0.11633756711566222,31.789758715426235,0.8792224739762298,0.27508917900504976
0.5299026526970778,0.07774155497195223,28.288409318666815,0.7387026387864528,0.20879998608937494
0.5511579764456058,0.09872621022818294,37.415033190084536,0.909247132183794,0.3580891557381882
0.6304093616282269,0.12121403495251507,33.53642038254888,1.1399877658013922,0.5095784041731654
0.6018827558914147,0.11626354979384511,33.3012734606503,1.1312096179633504,0.5293268620719358
0.7708026676529321,0.1517356485653062,31.413376593564124,1.2977402140268302,0.5269375463738979
0.6135391397898299,0.1275067487774723,33.447112338675055,1.0527314423045795,0.43919230251474967
0.6668568914056965,0.1651766069425125,32.64944864167271,1.0090474282300756,0.3421905368243792
0.6523291804905769,0.1526816120340695,32.47588101080719,1.0105205531102375,0.35819137261966066
0.6580023720877646,0.09732022032029872,7.781369980925344,0.7545382182830327,0.09653584619526814
0.6473211650818917,0.17285527428708033,32.09882662097205,0.8202309071199505,0.1729097420380587
0.6884888425266555,0.14883267963541852,31.544364995481292,1.1256816918718875,0.4371928493452319
0.5846895332476899,0.10885979732906927,31.411398433974476,1.1081722108427265,0.5234826775950365
0.4785737494952782,0.11332165101739175,32.91063458815836,1.0915906172840377,0.6130168677887595
0.6355061965359862,0.17027154238155984,31.07591254206984,1.1006384641846667,0.46513226764868054
0.6394034583485115,0.11000800434531592,32.1419140153261,1.1667570984621796,0.527353640113668
0.6500784553139133,0.13025308780555916,31.67664490763767,1.1178973286464031,0.4678188733324897
0.604447391115799,0.11712610669650361,32.006450316071124,1.2233462880795427,0.6188988969637436
0.6127674464869749,0.12824906825864968,32.41271676767466,1.1361222882274702,0.5233548417404954
0.6525179083821175,0.11758048215525446,32.70044059780409,1.1771311733765253,0.5246132649944079
0.6741659680615506,0.09971877164099001,35.89173431042747,1.049534250572074,0.3753682825105234
0.6960767405311814,0.12448231162363585,35.02943274730794,1.127487253530196,0.4314105129990147
0.6642520584447789,0.1614672617323867,30.2154445301967,1.1452250730428801,0.48097301459810127
0.6958405737567305,0.12656141980943203,30.415225785634163,1.1692636023054082,0.4734230285486778
0.6903957075429256,0.1325909497641963,31.00576404659835,1.2235415305875006,0.5331458230445751
0.6992753187718767,0.15139952419555222,29.895153906129668,1.1193338378103868,0.42005851903851005
0.614445540411193,0.09676498269857509,35.40768463511681,1.0292098213555678,0.4147642809443748
0.6214975448443782,0.11118405503931712,31.92008038441282,1.1408210685398157,0.5193235236954374
0.6015840536126824,0.10337801003367136,32.0411650988261,1.1100469920062122,0.5084629383935297
0.6186992380383168,0.1053726270282573,32.63445061877975,1.19930326723064,0.5806040291923232
0.6539901324624047,0.13295584275984978,31.160880197288638,1.2538827492424667,0.5998926167800621
0.633295653311455,0.06331829034550135,40.343752509600094,1.114831990671096,0.4815363373596409
