RegionID,DKTID,Region,Hemisphere,Coloc_time,Order
29,29,inferiortemporal,right,12.7,1
30,30,middletemporal,right,16.13,2
25,25,fusiform,right,16.33,3
19,19,inferiorparietal,right,20.45,4
20,20,precuneus,right,20.82,5
26,26,parahippocampal,right,21.32,6
32,32,superiortemporal,right,21.81,7
23,23,lateraloccipital,right,21.82,8
31,31,bankssts,right,21.87,9
15,15,isthmuscingulate,right,22.67,10
18,18,superiorparietal,right,23.12,11
28,28,temporalpole,right,23.21,12
17,17,supramarginal,right,25.54,13
1,1,lateralorbitofrontal,right,26.33,14
24,24,lingual,right,28.51,15
7,7,rostralmiddlefrontal,right,28.6,16
34,34,insula,right,29.13,17
4,4,medialorbitofrontal,right,29.83,18
14,14,posteriorcingulate,right,29.92,19
16,16,postcentral,right,32.58,20
5,5,parstriangularis,right,32.74,21
8,8,superiorfrontal,right,32.86,22
12,12,rostralanteriorcingulate,right,33.14,23
2,2,parsorbitalis,right,33.17,24
13,13,caudalanteriorcingulate,right,34.01,25
21,21,cuneus,right,34.03,26
9,9,caudalmiddlefrontal,right,34.22,27
6,6,parsopercularis,right,34.48,28
11,11,paracentral,right,34.52,29
22,22,pericalcarine,right,34.7,30
10,10,precentral,right,36.45,31
33,33,transversetemporal,right,36.47,32
36,41,Right-Amygdala,right,36.84,33
27,27,entorhinal,right,39.04,34
3,3,frontalpole,right,42.17,35
35,40,Right-Hippocampus,right,84.28,36
