RegionID,DKTID,Region,Hemisphere,Coloc_time,Order
36,82,Left-Amygdala,left,25.54,1
27,68,entorhinal,left,27.16,2
26,67,parahippocampal,left,28.07,3
25,66,fusiform,left,28.96,4
29,70,inferiortemporal,left,29.47,5
28,69,temporalpole,left,29.72,6
30,71,middletemporal,left,32.81,7
23,64,lateraloccipital,left,33.94,8
24,65,lingual,left,34.01,9
35,81,Left-Hippocampus,left,34.45,10
19,60,inferiorparietal,left,34.86,11
15,56,isthmuscingulate,left,35.32,12
31,72,bankssts,left,36.02,13
32,73,superiortemporal,left,36.1,14
18,59,superiorparietal,left,36.5,15
20,61,precuneus,left,37.24,16
17,58,supramarginal,left,37.69,17
34,75,insula,left,40.69,18
7,48,rostralmiddlefrontal,left,41.2,19
16,57,postcentral,left,41.41,20
1,42,lateralorbitofrontal,left,41.68,21
10,51,precentral,left,42.2,22
6,47,parsopercularis,left,42.37,23
21,62,cuneus,left,42.48,24
14,55,posteriorcingulate,left,42.53,25
9,50,caudalmiddlefrontal,left,42.7,26
22,63,pericalcarine,left,43.08,27
5,46,parstriangularis,left,43.56,28
8,49,superiorfrontal,left,44.24,29
12,53,rostralanteriorcingulate,left,45.31,30
33,74,transversetemporal,left,45.5,31
2,43,parsorbitalis,left,45.92,32
4,45,medialorbitofrontal,left,46.75,33
13,54,caudalanteriorcingulate,left,47.14,34
11,52,paracentral,left,47.89,35
3,44,frontalpole,left,54.42,36
