RegionID,DKTID,Region,Hemisphere,Coloc_time,Order
29,70,inferiortemporal,left,8.27,1
30,71,middletemporal,left,11.7,2
25,66,fusiform,left,11.98,3
26,67,parahippocampal,left,14.78,4
28,69,temporalpole,left,15.81,5
19,60,inferiorparietal,left,15.89,6
32,73,superiortemporal,left,16.92,7
23,64,lateraloccipital,left,17.64,8
15,56,isthmuscingulate,left,17.98,9
20,61,precuneus,left,18.05,10
31,72,bankssts,left,18.1,11
18,59,superiorparietal,left,19.0,12
17,58,supramarginal,left,20.33,13
27,68,entorhinal,left,21.94,14
24,65,lingual,left,21.96,15
34,75,insula,left,22.35,16
1,42,lateralorbitofrontal,left,22.45,17
36,82,Left-Amygdala,left,23.35,18
7,48,rostralmiddlefrontal,left,23.38,19
6,47,parsopercularis,left,25.28,20
9,50,caudalmiddlefrontal,left,26.07,21
16,57,postcentral,left,26.74,22
5,46,parstriangularis,left,26.75,23
8,49,superiorfrontal,left,27.45,24
14,55,posteriorcingulate,left,27.75,25
10,51,precentral,left,27.95,26
22,63,pericalcarine,left,28.16,27
21,62,cuneus,left,28.38,28
2,43,parsorbitalis,left,29.03,29
33,74,transversetemporal,left,29.53,30
4,45,medialorbitofrontal,left,31.07,31
12,53,rostralanteriorcingulate,left,31.16,32
13,54,caudalanteriorcingulate,left,33.28,33
11,52,paracentral,left,34.87,34
3,44,frontalpole,left,39.76,35
35,81,Left-Hippocampus,left,68.68,36
