RegionID,DKTID,Region,Hemisphere,Coloc_time,Order
65,70,inferiortemporal,left,8.27,1
29,29,inferiortemporal,right,10.24,2
66,71,middletemporal,left,11.68,3
61,66,fusiform,left,11.98,4
30,30,middletemporal,right,12.73,5
25,25,fusiform,right,13.46,6
62,67,parahippocampal,left,14.78,7
20,20,precuneus,right,15.52,8
55,60,inferiorparietal,left,15.73,9
64,69,temporalpole,left,15.81,10
56,61,precuneus,left,16.11,11
68,73,superiortemporal,left,16.84,12
19,19,inferiorparietal,right,17.17,13
51,56,isthmuscingulate,left,17.42,14
23,23,lateraloccipital,right,17.52,15
59,64,lateraloccipital,left,17.64,16
26,26,parahippocampal,right,17.92,17
67,72,bankssts,left,18.07,18
54,59,superiorparietal,left,18.09,19
32,32,superiortemporal,right,18.24,20
15,15,isthmuscingulate,right,18.7,21
18,18,superiorparietal,right,19.05,22
28,28,temporalpole,right,19.38,23
31,31,bankssts,right,19.38,24
53,58,supramarginal,left,20.09,25
63,68,entorhinal,left,21.94,26
60,65,lingual,left,21.96,27
17,17,supramarginal,right,22.19,28
70,75,insula,left,22.24,29
37,42,lateralorbitofrontal,left,22.37,30
43,48,rostralmiddlefrontal,left,22.77,31
1,1,lateralorbitofrontal,right,23.15,32
72,82,Left-Amygdala,left,23.35,33
24,24,lingual,right,23.85,34
7,7,rostralmiddlefrontal,right,24.23,35
14,14,posteriorcingulate,right,24.78,36
44,49,superiorfrontal,left,24.88,37
42,47,parsopercularis,left,25.01,38
50,55,posteriorcingulate,left,25.15,39
45,50,caudalmiddlefrontal,left,25.43,40
8,8,superiorfrontal,right,25.72,41
4,4,medialorbitofrontal,right,25.75,42
34,34,insula,right,25.79,43
52,57,postcentral,left,26.22,44
41,46,parstriangularis,left,26.47,45
57,62,cuneus,left,26.65,46
58,63,pericalcarine,left,27.18,47
46,51,precentral,left,27.38,48
48,53,rostralanteriorcingulate,left,28.07,49
21,21,cuneus,right,28.09,50
12,12,rostralanteriorcingulate,right,28.21,51
11,11,paracentral,right,28.35,52
40,45,medialorbitofrontal,left,28.37,53
13,13,caudalanteriorcingulate,right,28.41,54
16,16,postcentral,right,28.47,55
38,43,parsorbitalis,left,28.83,56
22,22,pericalcarine,right,29.04,57
5,5,parstriangularis,right,29.18,58
9,9,caudalmiddlefrontal,right,29.21,59
69,74,transversetemporal,left,29.4,60
49,54,caudalanteriorcingulate,left,30.04,61
2,2,parsorbitalis,right,30.13,62
6,6,parsopercularis,right,30.53,63
36,41,Right-Amygdala,right,30.87,64
10,10,precentral,right,31.52,65
47,52,paracentral,left,31.68,66
33,33,transversetemporal,right,32.85,67
27,27,entorhinal,right,33.81,68
3,3,frontalpole,right,36.88,69
39,44,frontalpole,left,37.38,70
71,81,Left-Hippocampus,left,68.68,71
35,40,Right-Hippocampus,right,72.52,72
