ab_bin,ab_bin_diffs
0.93015,0.0016224234418383745
0.975,0.004213649862508829
1.025,0.008402792518023977
1.075,0.010667489258587518
1.125,0.030554432596254195
1.175,0.02553994025789032
1.225,0.02005341849094969
1.275,0.03877459092671737
1.325,0.05531752496989446
1.375,0.03920125271362869
1.425,0.038459325871831554
1.475,0.02568305071043767
1.525,0.03272667190001166
1.575,0.008830980220357028
1.625,0.024011857949341655
1.675,0.0006494349862944976
1.725,0.022618930074695287
1.7982727272727275,0.02305435114796978
