ab_suvr,ab_diff
1.034,0.0009417618872097169
0.977,0.011153146598763182
1.531,0.046582167832167835
1.008,-0.009643328929986799
0.985,-0.01478351955307264
1.072,0.02464935064935062
1.007,0.0023218829516539977
1.033,0.02763493253373316
1.147,0.040376106194690245
1.058,0.0494422310756972
1.018,-0.0048216644649933995
0.982,0.005902964959568739
1.226,-0.0022453861927545877
0.99,0.0007520604395604403
0.924,-0.009161162483487459
1.524,0.005098412698412703
0.925,0.004838709677419341
1.186,0.0351807228915663
0.99,0.017023319615912226
0.974,0.0067281105990783475
1.652,0.026793628808864343
1.482,0.014151069518716535
1.565,0.030620805369127514
1.835,-0.02811624649859941
0.956,-0.009409769335142424
1.02,0.004716923076923057
0.998,0.02711141678129301
0.971,0.0031303602058319066
1.833,0.054724186704384774
0.943,-0.009690265486725622
0.998,0.025992662926197674
0.942,-0.008261316872427963
0.965,0.0008233082706766925
1.46,0.05567796610169497
0.965,0.0
0.986,-0.005429462571976972
1.121,0.036525542337298815
1.048,-0.013376963350785353
0.951,0.00267521759047183
0.984,0.00148173207036536
1.157,0.024775059194948722
1.192,0.02868563685636859
1.379,0.030516886326194412
1.063,0.018640856672158174
0.946,-0.0025312066574202517
1.54,0.034140302613480084
1.059,-0.005868167202572327
0.968,0.01129878869448184
1.048,0.0011230769230768992
1.057,-0.006942096365173278
1.747,0.13233918128654965
1.013,0.025911872705018386
0.995,0.0033355091383811776
1.085,-0.009067368421052623
0.949,0.017958567112645662
1.424,0.005959183673469393
0.919,0.0020524835988753533
0.993,-0.0020122985581000866
1.253,0.028508010680907928
1.447,0.016971024258760098
0.96,0.017824344023323602
0.963,-0.001542253521126762
0.99,-0.00787972243639168
0.96,0.0
1.04,-0.007728825136612056
1.056,0.02727581521739127
0.939,0.0016229435304579828
1.702,-0.004181266846361163
1.502,0.02419240669240669
1.559,0.006334056399132326
1.686,-0.0025312066574202517
1.002,0.002576091751213059
1.56,-0.006620314389359184
0.94,-0.005069444444444398
0.924,0.005109659356042916
1.01,0.029810289389067525
1.012,0.009617918313570497
1.145,0.03831893687707639
1.634,0.04500227479526845
0.963,0.013208886852954661
1.097,-0.005457343887423047
1.046,0.044764150943396176
0.999,0.02228879706152432
0.96,0.001241496598639457
1.34,0.07221399730820997
1.004,-0.018741976893453163
0.992,0.0038967971530248858
1.144,0.03627329192546587
0.995,0.0071165511265164705
1.08,-0.0054334500875657145
1.914,0.043375474083438725
0.968,-0.001879021879021881
1.118,-0.011944177093359008
1.043,0.0023297872340425725
1.011,0.006298819255222567
1.012,0.014025617566331212
0.981,0.0021646897810218995
0.993,0.006717791411042889
1.04,0.011468579234972687
0.97,0.012867023650156174
1.027,0.03570072992700739
0.902,0.005710884353741502
0.966,0.0067281105990783475
0.993,0.004451219512195099
1.207,0.028639930252833436
1.633,0.022718878248974
1.125,0.04032165039929017
0.973,0.001100502512562815
0.956,0.004376498800959236
1.029,0.0031780583369612567
1.258,0.038184102329830986
1.307,0.038421052631578946
1.299,0.03921487603305785
1.865,-0.004651240778001318
1.414,0.055905743740795336
1.135,0.02715426745778184
0.914,-0.0028243058716431522
1.03,0.0025776836158191542
0.973,-0.009706088173547915
1.028,0.00886915887850468
0.936,-0.004698019801980202
1.827,0.012960652591170876
0.932,0.003440150801130992
1.045,0.026674988651838406
0.961,0.003530834340991539
1.736,-0.06277999999999999
1.018,-0.00204481792717087
1.003,0.0005027548209366582
1.552,0.045776578073089706
0.979,0.0021373873873873892
1.382,0.04685810810810813
1.535,0.05522381378692929
1.06,0.0194350649350649
0.963,-0.0027264239028944935
1.012,0.05020975609756098
1.404,0.017085819183111535
1.002,0.0012362404741744295
1.428,0.04288633461047258
0.967,0.0280769230769231
1.458,0.0024441964285714306
0.951,0.0030672268907563052
0.981,-0.00176841085271318
1.169,0.023247241725175526
1.719,0.03720052945069489
1.011,0.004876670092497477
1.245,0.033765711412770225
1.196,0.014538784067085966
1.882,0.06221038615179755
1.505,0.024395408163265308
1.679,0.01379527559055115
1.399,0.038329945799458004
1.543,0.03618443804034585
1.11,0.03388888888888886
0.992,0.0019301956636700174
1.378,0.06143057503506317
1.023,-0.007478656801365948
0.986,-0.0030041152263374513
0.908,0.00886639676113361
1.196,0.026812196812196834
1.498,0.03045897079276776
1.518,0.03691595441595439
0.982,0.029975845410628046
1.68,-0.0695238095238095
1.409,0.0445248226950355
1.002,0.01451989026063096
1.536,0.03180714285714283
1.026,0.011755233494363939
1.002,-0.0023523093447905498
0.971,0.0029300458715596357
1.603,0.0043144208037825095
1.403,0.08588235294117644
0.973,-0.0031570192947438487
1.033,0.028352678571428633
0.925,0.004720898570456069
0.98,-0.004136878814298173
0.937,0.0
1.032,0.011569529652351708
0.994,-0.004365225390984364
0.919,0.004084732214228621
1.103,0.03906064209274677
0.949,0.017857142857142873
1.148,0.025569176882662022
1.003,-0.0041919606234618245
0.957,-0.00416228070175439
1.357,0.018870748299319746
0.955,0.00664845173041895
0.995,-0.011825053995680356
0.93,-0.00157837837837838
0.983,0.009631944444444453
0.963,-0.004397590361445787
1.577,-0.031956224350205224
1.721,0.010516206482593046
0.957,0.0
0.95,0.018829365079365095
1.048,-0.002281250000000002
1.653,0.034713286713286745
1.286,0.04919137466307271
