RegionID,DKTID,Region,Hemisphere,Coloc_time,Order
61,66,fusiform,left,24.11,1
25,25,fusiform,right,24.33,2
29,29,inferiortemporal,right,27.99,3
65,70,inferiortemporal,left,28.23,4
62,67,parahippocampal,left,29.54,5
51,56,isthmuscingulate,left,29.6,6
26,26,parahippocampal,right,30.21,7
64,69,temporalpole,left,30.81,8
28,28,temporalpole,right,30.82,9
15,15,isthmuscingulate,right,31.26,10
56,61,precuneus,left,31.53,11
20,20,precuneus,right,31.71,12
30,30,middletemporal,right,31.92,13
66,71,middletemporal,left,32.06,14
23,23,lateraloccipital,right,32.19,15
59,64,lateraloccipital,left,32.39,16
55,60,inferiorparietal,left,33.23,17
19,19,inferiorparietal,right,33.32,18
54,59,superiorparietal,left,33.6,19
18,18,superiorparietal,right,33.72,20
68,73,superiortemporal,left,34.64,21
32,32,superiortemporal,right,34.77,22
67,72,bankssts,left,35.03,23
31,31,bankssts,right,35.41,24
53,58,supramarginal,left,35.74,25
50,55,posteriorcingulate,left,36.12,26
14,14,posteriorcingulate,right,36.42,27
17,17,supramarginal,right,36.58,28
58,63,pericalcarine,left,37.38,29
22,22,pericalcarine,right,37.69,30
44,49,superiorfrontal,left,37.85,31
43,48,rostralmiddlefrontal,left,37.92,32
8,8,superiorfrontal,right,38.15,33
7,7,rostralmiddlefrontal,right,38.25,34
70,75,insula,left,38.52,35
13,13,caudalanteriorcingulate,right,38.62,36
52,57,postcentral,left,38.67,37
11,11,paracentral,right,38.73,38
45,50,caudalmiddlefrontal,left,38.74,39
49,54,caudalanteriorcingulate,left,38.97,40
57,62,cuneus,left,39.21,41
42,47,parsopercularis,left,39.38,42
1,1,lateralorbitofrontal,right,39.57,43
46,51,precentral,left,39.57,44
34,34,insula,right,39.65,45
37,42,lateralorbitofrontal,left,39.66,46
48,53,rostralanteriorcingulate,left,39.81,47
9,9,caudalmiddlefrontal,right,39.93,48
16,16,postcentral,right,40.0,49
12,12,rostralanteriorcingulate,right,40.21,50
47,52,paracentral,left,40.28,51
41,46,parstriangularis,left,40.5,52
4,4,medialorbitofrontal,right,40.91,53
5,5,parstriangularis,right,41.13,54
10,10,precentral,right,41.29,55
6,6,parsopercularis,right,41.32,56
24,24,lingual,right,41.55,57
60,65,lingual,left,41.79,58
40,45,medialorbitofrontal,left,41.99,59
69,74,transversetemporal,left,42.43,60
2,2,parsorbitalis,right,42.81,61
38,43,parsorbitalis,left,43.13,62
33,33,transversetemporal,right,43.47,63
21,21,cuneus,right,44.27,64
72,82,Left-Amygdala,left,44.55,65
63,68,entorhinal,left,44.85,66
36,41,Right-Amygdala,right,46.34,67
3,3,frontalpole,right,46.67,68
39,44,frontalpole,left,47.65,69
27,27,entorhinal,right,58.89,70
35,40,Right-Hippocampus,right,121.24,71
71,81,Left-Hippocampus,left,122.39,72
